Center image ,Left image,Right image,Steering,trottle,Break,Speed
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_547.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_547.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_547.jpg,-0.05,1,0,14.93451
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_621.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_621.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_621.jpg,-0.2,1,0,15.68027
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_689.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_689.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_689.jpg,-0.4226344,1,0,16.46341
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_756.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_756.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_756.jpg,-0.2477086,1,0,16.95547
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_826.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_826.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_826.jpg,-0.01214069,0.8155453,0,17.68487
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_898.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_898.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_898.jpg,0,0.6213641,0,18.30163
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_10_977.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_10_977.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_10_977.jpg,0,0.3607323,0,18.66204
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_058.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_058.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_058.jpg,0,0.1186965,0,18.78285
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_127.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_127.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_127.jpg,0,0,0,18.70222
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_199.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_199.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_199.jpg,0,0,0,18.11969
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_272.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_272.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_272.jpg,-0.15,0,0,17.95381
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_346.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_346.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_346.jpg,-0.35,0,0,17.77244
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_418.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_418.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_418.jpg,-0.5000001,0,0,18.05226
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_489.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_489.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_489.jpg,-0.7,0,0,17.76496
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_559.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_559.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_559.jpg,-0.8500001,0,0,17.08341
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_630.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_630.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_630.jpg,-0.9415894,0,0,16.72488
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_706.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_706.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_706.jpg,-0.7156554,0,0,16.54473
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_777.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_777.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_777.jpg,-0.5301012,0,0,16.98378
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_847.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_847.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_847.jpg,-0.2922131,0,0,16.87398
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_920.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_920.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_920.jpg,-0.09801756,0,0,16.28465
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_11_992.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_11_992.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_11_992.jpg,0,0,0,16.10437
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_066.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_066.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_066.jpg,0,0,0,15.96315
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_138.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_138.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_138.jpg,0,0,0,16.40938
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_212.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_212.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_212.jpg,0,0,0,16.28036
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_286.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_286.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_286.jpg,0,0,0,16.15441
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_357.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_357.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_357.jpg,0,0,0,15.52271
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_431.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_431.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_431.jpg,0,0,0,15.40694
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_505.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_505.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_505.jpg,-0.15,0,0,15.28346
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_576.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_576.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_576.jpg,-0.3,0,0,15.68363
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_650.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_650.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_650.jpg,-0.4109158,0,0,15.4879
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_717.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_717.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_717.jpg,-0.2385474,0,0,14.87578
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_787.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_787.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_787.jpg,0,0,0,14.74947
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_864.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_864.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_864.jpg,0,0,0,15.1724
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_12_933.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_12_933.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_12_933.jpg,0,0,0,15.04834
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_008.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_008.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_008.jpg,0,0,0,14.93174
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_074.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_074.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_074.jpg,0,0,0,14.34877
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_151.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_151.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_151.jpg,0,0,0,14.23677
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_225.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_225.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_225.jpg,0,0,0,14.12899
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_293.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_293.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_293.jpg,0,0,0,14.53068
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_369.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_369.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_369.jpg,0,0.1971081,0,14.46217
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_436.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_436.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_436.jpg,0,0.369951,0,14.04008
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_511.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_511.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_511.jpg,0,0.6214849,0,14.52199
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_585.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_585.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_585.jpg,0,0.844097,0,15.19515
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_659.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_659.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_659.jpg,-0.15,1,0,15.95127
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_728.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_728.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_728.jpg,-0.2839497,1,0,16.73752
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_795.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_795.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_795.jpg,-0.1079245,1,0,17.31322
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_872.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_872.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_872.jpg,0,1,0,18.14223
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_13_946.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_13_946.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_13_946.jpg,0,1,0,18.97237
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_021.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_021.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_021.jpg,0,1,0,19.60298
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_095.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_095.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_095.jpg,0,1,0,20.41092
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_171.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_171.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_171.jpg,0,1,0,21.21376
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_247.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_247.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_247.jpg,-0.1,1,0,22.00748
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_318.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_318.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_318.jpg,-0.25,1,0,22.57554
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_393.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_393.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_393.jpg,-0.45,0.87265,0,23.23953
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_460.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_460.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_460.jpg,-0.4295136,0.965389,0,23.69626
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_536.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_536.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_536.jpg,-0.2001636,0.7360391,0,24.337
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_612.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_612.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_612.jpg,0,0.4811162,0,24.72521
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_687.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_687.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_687.jpg,0,0.2564321,0,24.87124
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_756.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_756.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_756.jpg,0,0.07804315,0,24.84889
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_823.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_823.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_823.jpg,0,0,0,24.71132
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_893.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_893.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_893.jpg,0,0,0,24.51253
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_14_959.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_14_959.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_14_959.jpg,0,0,0,24.36454
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_035.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_035.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_035.jpg,0,0,0,24.16865
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_110.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_110.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_110.jpg,0,0,0,23.97427
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_176.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_176.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_176.jpg,0,0,0,23.82956
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_253.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_253.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_253.jpg,0,0,0,23.63797
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_320.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_320.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_320.jpg,0,0,0,23.49523
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_388.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_388.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_388.jpg,0,0,0,23.30633
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_454.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_454.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_454.jpg,0,0,0,23.16566
C:\Users\Manjunath\Desktop\data\IMG\center_2018_04_15_09_08_15_529.jpg,C:\Users\Manjunath\Desktop\data\IMG\left_2018_04_15_09_08_15_529.jpg,C:\Users\Manjunath\Desktop\data\IMG\right_2018_04_15_09_08_15_529.jpg,-0.15,0,0,22.97095
